id	RNF43_WT_4	RNF43_WT_3	RNF43_WT_2	RNF43_WT_1	GFP_4	GFP_3	GFP_2	GFP_1	RNF43_659fs_4	RNF43_659fs_3	RNF43_659fs_2	RNF43_659fs_1	RNF43_117fs_4	RNF43_117fs_3	RNF43_117fs_2	RNF43_117fs_1
ENSG00000152049.6	-0.2911	-1.1601	0.8755	-0.1083	0.4118	0.8876	0.1436	0.2355	1.2657	0.6776	-1.2124	0.0867	-2.5206	-0.8067	0.5755	0.9398
ENSG00000230707.1	0.5336	0.1418	1.1160	1.4551	-1.9922	-0.4758	-1.3845	-1.1118	-0.2648	0.1612	-0.3200	0.0241	1.3447	1.2875	-0.5630	0.0478
ENSG00000261663.1	0.3991	-0.2495	0.6651	-1.9502	-0.2049	0.2554	1.4230	-0.7715	1.1662	-0.1665	0.8809	-1.8432	-0.8421	1.2351	-0.0671	0.0702
ENSG00000011052.21	0.2815	-1.1831	0.4441	-0.7872	-0.2069	-2.5465	-0.5387	-0.6265	0.8428	0.2408	0.8626	-0.3069	1.3001	1.3405	0.3699	0.5132
ENSG00000181649.5	0.4226	0.1109	1.4342	-0.5203	-0.8621	-1.0971	-0.6699	-1.1067	1.3909	0.8454	1.5963	0.8214	0.2899	-0.5454	-0.6186	-1.4915
ENSG00000112305.14	1.0867	0.4660	0.3053	0.2115	0.4883	-0.4296	1.1553	-1.9965	-0.7162	-0.9498	-0.8324	-0.1174	-1.5969	1.0779	1.2233	0.6246
ENSG00000270587.1	0.1800	-0.5184	-0.2191	0.4748	0.4377	0.8517	2.2374	0.5539	0.3478	-0.1883	-1.0463	0.5222	0.4019	-1.6848	-1.8495	-0.5010
ENSG00000282772.1	-0.5764	0.6540	-0.8050	0.0857	-0.4396	1.9351	-2.3553	0.8992	-0.8246	-0.2925	-0.5131	0.3095	1.1261	-0.3121	0.2499	0.8592
ENSG00000197299.10	-0.6934	0.2021	-0.7355	-0.2095	1.3584	2.3363	1.0153	0.3334	-0.1206	0.3911	-0.6306	-0.5854	-2.0475	-0.5596	0.1010	-0.1556
ENSG00000104998.3	-0.0591	-0.4316	-0.2165	-0.8211	-0.2212	-0.3707	-0.3411	-0.8260	1.3098	1.8941	2.1468	0.7196	-0.0635	-1.1270	-1.0536	-0.5389
ENSG00000272540.1	-1.1077	0.1834	-2.1931	0.3631	0.7326	1.7302	0.5183	-0.1103	1.5311	0.6979	-0.6018	0.3063	-0.1702	-0.6701	-1.0997	-0.1102
